task_id,trial_id,model,prompt_hash,taxonomy_version,success,stage,error_type,signature,returncode,gen_elapsed_sec,elapsed_sec,context_used,context_num_files,repo_context_preview,edit_used,edit_parse_ok,edit_parse_reason,diff_export_ok,diff_export_reason,format_used,format_ok,format_reason,apply_check_ok,apply_check_reason,patch_lines_added,patch_lines_removed,files_changed,timestamp,seed
astropy__astropy-12907,0,Qwen/Qwen2.5-Coder-7B-Instruct,1d006f36813d2fc095bc8da160e7e87abfd8d05ee8957d92087cee1133b4b7b9,exp2_pre,False,EDIT_PARSE,GEN_FAIL,llm_call_fail,,1801.7673428058624,1801.7673428058624,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,False,llm_call_fail,False,,,,,,,0,0,0,2026-03-08T08:21:05.452491,42
astropy__astropy-14182,0,Qwen/Qwen2.5-Coder-7B-Instruct,323a3b727d26875c53e665ce8dcd10f792793ee5799a7ac698c292c0950d1af1,exp2_pre,False,EDIT_PARSE,GEN_FAIL,invalid_edit_script,-1,614.3803293704987,0.9241702556610107,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,False,invalid_edit_script,False,empty_generated_diff:EDIT_PARSE:invalid_edit_script,,,,,,0,0,0,2026-03-08T08:51:07.220385,42
astropy__astropy-14365,0,Qwen/Qwen2.5-Coder-7B-Instruct,232a841813d672f784b09b1e96ec3c80e68dec2004a89644c92446bea8d6a434,exp2_pre,True,DONE,PASS,success,0,1.573000431060791,4.924516201019287,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,True,ok,True,ok,,,,,,7,1,1,2026-03-08T09:01:22.525337,42
astropy__astropy-14995,0,Qwen/Qwen2.5-Coder-7B-Instruct,fd14cad64dd3edbd82b7592d7f25cd7092f8823092380514768bffb1d84d63a2,exp2_pre,True,DONE,PASS,success,0,0.9262075424194336,5.414762735366821,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,True,ok,True,ok,,,,,,2,1,1,2026-03-08T09:01:29.071433,42
astropy__astropy-6938,0,Qwen/Qwen2.5-Coder-7B-Instruct,c5b32e42610f8f080a47c68fd74b8756f9c425cccd00e2a95d0cec9268bcd381,exp2_pre,False,EDIT_APPLY,APPLY_FAIL,edit_apply_path_missing,-1,1202.0693037509918,0.6042230129241943,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,True,ok,False,empty_generated_diff:EDIT_APPLY:edit_apply_path_missing,,,,,,0,0,0,2026-03-08T09:01:35.455374,42
astropy__astropy-7746,0,Qwen/Qwen2.5-Coder-7B-Instruct,b17508f2f0c9e41b5b4f161b651d28ae211cd3e74b0b5d30303560c5732c8eab,exp2_pre,True,DONE,PASS,success,0,1.1898608207702637,4.577512502670288,True,80,"Existing files (choose from these):
setup.py
conftest.py
ez_setup.py
docs/conf.py
ah_bootstrap.py
astropy/logger.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/extern/six.py
astropy/samp/utils.py
astropy/table/info.py
... (+60 more)",True,True,ok,True,ok,,,,,,3,3,1,2026-03-08T09:21:38.129515,42
django__django-10914,0,Qwen/Qwen2.5-Coder-7B-Instruct,9e757ab3e919080971bad8389f6105bf244134b82a80aa8cfddc5287a3888681,exp2_pre,False,EDIT_APPLY,APPLY_FAIL,edit_apply_path_missing,-1,0.6896374225616455,0.9401583671569824,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/asgi/urls.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/asgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
... (+60 more)",True,True,ok,False,empty_generated_diff:EDIT_APPLY:edit_apply_path_missing,,,,,,0,0,0,2026-03-08T09:21:43.947823,42
django__django-10924,0,Qwen/Qwen2.5-Coder-7B-Instruct,b90fbf868d6429a5e1d18495bf110d02a16e6f2fb4eabbbc2b7ccbf0c6ae753a,exp2_pre,True,DONE,PASS,success,0,1.9437980651855469,4.455764293670654,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",True,True,ok,True,ok,,,,,,14,2,1,2026-03-08T09:21:45.578101,42
django__django-11001,0,Qwen/Qwen2.5-Coder-7B-Instruct,4069f50e70379d13a337e3456723f8e177f34a8ca13eeb0ac7327e695448e627,exp2_pre,False,EDIT_APPLY,APPLY_FAIL,edit_apply_path_missing,-1,1.0696203708648682,0.5293595790863037,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",True,True,ok,False,empty_generated_diff:EDIT_APPLY:edit_apply_path_missing,,,,,,0,0,0,2026-03-08T09:21:52.037376,42
django__django-11019,0,Qwen/Qwen2.5-Coder-7B-Instruct,58a7fa89650286a791da19a404d1f30f6c3e28f97d146c8cb17bd8160e201aa3,exp2_pre,True,DONE,PASS,success,0,0.8349080085754395,4.419478416442871,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",True,True,ok,True,ok,,,,,,1,5,1,2026-03-08T09:21:53.636780,42
